method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
acs-max_step-none,0.0,0.0,0.0,100.0,0.94,100.0
acs-max_step-mode,28.57142857142857,0.0,0.0,82.5484346718509,2.22,99.95315062114969
acs-double_max_step-none,0.0,0.0,0.0,100.0,0.81,100.0
acs-double_max_step-mode,28.57142857142857,0.0,0.0,80.96299524032983,0.89,99.95315062114969
acs-double_min_bin_count-none,57.14285714285714,7.446808510638298,99.34782608695653,46.46376617282295,3.37,89.20121788978577
acs-double_min_bin_count-mode,85.71428571428571,0.0,0.0,38.248307300395524,8.46,99.85945186344907
acs-min_kde-none,42.857142857142854,13.829787234042554,99.3421052631579,81.35516524770395,2.69,85.78121364116669
acs-double_min_kde-none,42.857142857142854,13.829787234042554,99.3421052631579,80.07307099282697,1.86,85.78121364116669
scs_symmin,14.285714285714285,0.0,0.0,98.41791244888383,0.76,99.97657531057484
scs_indep,14.285714285714285,0.0,0.0,95.25373734665146,1.55,99.97657531057484
lof,0.0,59.04255319148937,98.90795631825273,100.0,1.0,85.1487472653389
if,0.0,6.914893617021277,97.59450171821305,99.98994435878528,1.0,93.34738850593567
ocsvm,0.0,54.78723404255319,99.672131147541,95.9241134276329,1.0,50.152260065078735
dbscan,0.0,100.0,99.83602717263996,50.0,11.0,0.1639723777770996
dbscan_adaptive,100.0,0.0,0.0,50.0,1.55,99.83602716820315
dbscan_adaptive_elbow,14.285714285714285,0.0,0.0,96.83414895756519,1.55,99.97657531057484
kmeans,71.42857142857143,28.191489361702125,99.85905567300915,48.4547831333378,5.01,66.69009029865265
gmm,0.0,100.0,99.83602717263996,50.0,11.0,0.1639723777770996
kde,0.0,34.04255319148936,99.52153110047847,99.7720721324663,1.0,65.89365303516388
affprop,14.285714285714285,11.170212765957446,99.0625,97.62184085271836,0.88,85.12532263994217
