method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
scs_symmin,0.0,2.7210884353741496,30.76923076923077,99.93865030674847,0.1,99.7559487586841
scs_indep,11.11111111111111,0.0,0.0,99.98977505112474,0.13,99.93898718967102
lof,0.0,63.26530612244898,96.34146341463415,99.91138377641445,1.0,85.5399638414383
if,11.11111111111111,14.285714285714285,84.31372549019608,96.21676891615543,1.0,97.31543622910976
ocsvm,11.11111111111111,59.183673469387756,99.02319902319903,87.55964553510564,1.0,50.45759677886963
dbscan,0.0,100.0,99.45088468578402,50.0,14.0,0.5491137504577637
dbscan_adaptive,100.0,0.0,0.0,50.0,0.18,99.45088466629386
dbscan_adaptive_elbow,11.11111111111111,0.0,0.0,89.89093387866393,0.18,99.93898718967102
kmeans,55.55555555555556,49.65986394557823,99.5049504950495,43.89229720518063,5.19,50.64063370227814
gmm,0.0,100.0,99.45088468578402,50.0,14.0,0.5491137504577637
kde,0.0,18.367346938775512,92.6829268292683,99.80913428766189,1.0,93.04453954100609
affprop,100.0,12.925170068027212,100.0,45.821404226312204,1.2,86.2721174955368
