method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auprc_std,class_size_pred_error_std,auroc_std,tail_pred_acc_std,tail_pred_mcc_std,tail_pred_precision_std,tail_pred_recall_std
acs-trim_min-none,0.5,11.074020319303338,81.4524860450341,95.06734985086351,0.79,99.7014200552173,87.62921288609505,0.3981731235897012,0.1854751395496589,0.9949999999999999,1.1180339887498947,3.2278549302949058,5.545391967349223,7.003298220703119,0.030822070014844893,0.5176791984836961,2.906299811196099,0.06113893268542157,0.055453919673492204,0.011180339887498962
acs-trim_min-mode,0.0,4.593613933236575,69.3291393437896,96.76421673444858,0.18,99.84710398214095,93.28273370862007,0.5274347551924949,0.3067086065621039,1.0,0.0,2.1031459914959836,11.539651012279387,6.603884591840455,0.031622776601683805,0.32656156523400204,2.547608035755584,0.1084065686566723,0.1153965101227939,0.0
acs-trim_min-mean,1.0,3.8243831640058055,63.005440595210416,94.18680157886541,0.244,99.63821114342714,95.19373808056116,0.5845609732890431,0.36994559404789584,0.99,2.2360679774997894,1.532100746187414,11.418043411029005,10.42126421916827,0.08734987120768983,0.6439328116906022,1.2207345925867994,0.09089982869615264,0.11418043411029005,0.022360679774997918
acs-truncate_min-none,0.5,16.984760522496373,85.21355205251432,95.11212483400735,0.924,99.66006784288606,83.83070290088654,0.34761863264750154,0.14786447947485684,0.9949999999999999,1.1180339887498947,4.794948468434446,3.8164258574444827,6.921828147145454,0.008944271909999166,0.6236233679270269,3.085285943801508,0.049340110774682255,0.03816425857444481,0.011180339887498962
acs-truncate_min-mode,0.0,8.603047895500726,78.2621964832249,96.70223567976197,0.47800000000000004,99.84118491896751,89.79864999651909,0.43663729757912845,0.217378035167751,1.0,0.0,2.4039796496053634,7.463975333462011,7.173706529862648,0.026832815729997458,0.3505030630260109,1.5300391689587958,0.07754094185903761,0.07463975333462007,0.0
acs-truncate_min-mean,1.5,7.648766328011611,77.36696770032505,93.4558746604893,0.48,99.48204047722149,90.42131289839745,0.44268218313572866,0.22633032299674954,0.985,3.3541019662496847,2.660439860874089,7.377453880864386,10.646043785552578,0.02915475947422649,0.9115948067233471,1.4945774707404422,0.06792457289135184,0.07377453880864386,0.03354101966249683
acs-half_min-none,0.5,15.424528301886792,84.08641125431241,95.11397043477425,0.712,99.714673379776,85.44071182608604,0.3657647703859732,0.15913588745687596,0.9949999999999999,1.1180339887498947,7.126382189870536,1.9823747750608305,7.1009199594976,0.03834057902536166,0.5074290343112084,3.1641897995564845,0.02460200952521625,0.019823747750608346,0.011180339887498962
acs-half_min-mode,1.5,6.701741654571843,75.92092592092592,91.57137419135978,0.16999999999999998,98.80152099667644,90.68052031099796,0.45417001710810984,0.2407907407907408,0.985,3.3541019662496847,3.487266061079044,10.577570451780575,10.453224462319769,0.08888194417315588,1.9744724326077696,2.4993180068528207,0.0944798038326248,0.10577570451780571,0.03354101966249683
acs-half_min-mean,1.5,6.317126269956459,70.73308348482826,90.96762458169346,0.236,99.12467469195816,92.56751243025064,0.5055561255483509,0.29266916515171754,0.985,3.3541019662496847,3.3201876444221377,14.931699781892895,11.195121069063488,0.13240090634130872,1.416287837977356,2.8286504600216658,0.1302308602119983,0.14931699781892896,0.03354101966249683
lof,81.14634146341464,49.19448476052249,96.15463762881168,8.099849168672318,1.0,37.528293611671494,83.34035962820053,0.022611242563342723,0.038453623711883204,0.18853658536585366,9.553724985464646,15.293121899255144,2.821596648924058,9.324332965120732,0.0,7.8730599183204255,0.18424919106475204,0.04853508905211166,0.028215966489240542,0.09553724985464647
lof_norm,83.71747967479675,50.57692307692308,96.57930917565821,8.723690489032897,1.0,38.393620992829895,83.21266293525696,0.011193818605457078,0.034206908243417905,0.16282520325203254,10.605852901631048,12.281424893148813,2.9230527080193967,10.377437033889022,0.0,11.006750275804613,0.18410083830118187,0.0522714368782945,0.029230527080193965,0.10605852901631051
if,15.63821138211382,7.449201741654572,73.4043357368931,52.097564529952045,1.0,96.97670093043799,92.97758273780346,0.443421601796872,0.26595664263106883,0.8436178861788617,15.995301236917244,2.9310688493856025,6.121337860712357,20.749301852915593,0.0,2.0440034247053362,1.6219583100622683,0.04582416886074348,0.06121337860712349,0.15995301236917242
if_norm,6.010162601626016,9.727866473149492,73.19468587128162,58.940715665621966,1.0,97.74539279289577,91.99627093970776,0.47190199187009085,0.2680531412871838,0.9398983739837398,6.462486191433825,4.649182708494969,9.205487129162263,19.615604130202904,0.0,1.347861126488766,3.419320447347892,0.08405589069740597,0.09205487129162261,0.06462486191433825
ocsvm,7.451219512195121,55.48258345428157,94.8405164955298,38.686503734499155,1.0,88.48997217415695,52.39123046398163,0.14330451238310682,0.05159483504470204,0.9254878048780487,7.019472334399086,10.632684050671193,1.5694139062048715,24.955501525895148,0.0,7.289560214239385,0.904662306505513,0.03312523463395627,0.01569413906204872,0.07019472334399085
ocsvm_norm,2.1666666666666665,48.07692307692308,94.47110586098994,58.82676321858669,1.0,94.03689219016371,53.2975971698761,0.16316663892786876,0.055288941390100585,0.9783333333333333,3.613247231446466,7.097568395045716,1.6718403852044057,34.605465418907414,0.0,7.021047826690192,1.515290775200634,0.03059341026136854,0.016718403852044036,0.0361324723144647
dbscan,0.0,100.0,97.22199975834044,51.38900012082978,11.0,50.0,2.778000831604004,0.0,0.02778000241659557,1.0,0.0,0.0,0.7860369611805772,0.39301848059028544,0.0,0.0,0.7860364481781089,0.0,0.00786036961180579,0.0
dbscan_norm,100.0,0.19230769230769232,20.0,41.38900012082978,0.33799999999999997,49.995298542548184,97.21280436962843,-0.0006443726511106167,0.0,0.0,0.0,0.43001307259611343,44.721359549995796,22.523171616144076,0.30865838721797273,0.010512778455570818,0.777912553557882,0.0014408610507250944,0.0,0.0
dbscan_elbow,0.0,100.0,97.22199975834044,51.38900012082978,0.99,50.0,2.778000831604004,0.0,0.02778000241659557,1.0,0.0,0.0,0.7860369611805772,0.39301848059028544,0.0,0.0,0.7860364481781089,0.0,0.00786036961180579,0.0
dbscan_elbow_norm,0.0,100.0,97.22199975834044,51.38900012082978,0.99,50.0,2.778000831604004,0.0,0.02778000241659557,1.0,0.0,0.0,0.7860369611805772,0.39301848059028544,0.0,0.0,0.7860364481781089,0.0,0.00786036961180579,0.0
kmeans,18.58739837398374,43.34905660377358,95.47458804276053,19.31060998244562,3.186,66.83507037675571,54.60969626903534,0.11110848542600955,0.04525411957239459,0.8141260162601626,28.908279071624797,8.969143807737332,1.229564860158893,14.383992788301756,0.8008932513138065,9.474266512847528,7.122661486900356,0.07905728368005192,0.012295648601588893,0.28908279071624793
kmeans_norm,18.58739837398374,43.34905660377358,95.47458804276053,19.31060998244562,3.186,66.83507037675571,54.60969626903534,0.11110848542600955,0.04525411957239459,0.8141260162601626,28.908279071624797,8.969143807737332,1.229564860158893,14.383992788301756,0.8008932513138065,9.474266512847528,7.122661486900356,0.07905728368005192,0.012295648601588893,0.28908279071624793
